rank,author,catagory,solved
"
                291
            ",khatribiru,Candidate Master khatribiru,"
                1333
            "
"
                292
            ",AryanSM,Master AryanSM,"
                1331
            "
"
                293
            ",lrvideckis,Master lrvideckis,"
                1331
            "
"
                294
            ",I_love_Malika,Expert I_love_Malika,"
                1328
            "
"
                295
            ",Alekhine,Master Alekhine,"
                1327
            "
"
                296
            ",eagle93,Candidate Master eagle93,"
                1327
            "
"
                297
            ",fofao_funk,Master fofao_funk,"
                1327
            "
"
                298
            ",bagpipe,"Unrated, bagpipe","
                1326
            "
"
                299
            ",Belonogov,International Grandmaster Belonogov,"
                1321
            "
"
                300
            ",Mikhniuk,Master Mikhniuk,"
                1320
            "
"
                301
            ",ulna,International master ulna,"
                1319
            "
"
                302
            ",YakovPolykovsky,Expert YakovPolykovsky,"
                1317
            "
"
                303
            ",Tariqul,Expert Tariqul,"
                1315
            "
"
                304
            ",hama-du,Master hama-du,"
                1315
            "
"
                305
            ",sweiss,Grandmaster sweiss,"
                1315
            "
"
                306
            ",Jaihk662,Master Jaihk662,"
                1311
            "
"
                307
            ",_LeMur_,Master _LeMur_,"
                1310
            "
"
                308
            ",AshishYadav,Candidate Master AshishYadav,"
                1305
            "
"
                309
            ",Hamzqq9,International master Hamzqq9,"
                1305
            "
"
                310
            ",m1_k3,Specialist m1_k3,"
                1305
            "
"
                311
            ",nevergiveup,Candidate Master nevergiveup,"
                1304
            "
"
                312
            ",_lucifer_,Specialist _lucifer_,"
                1303
            "
"
                313
            ",OreWaFujimiNoKeeDaaa,Master OreWaFujimiNoKeeDaaa,"
                1302
            "
"
                314
            ",EKGMA,Candidate Master EKGMA,"
                1298
            "
"
                315
            ",Lightless,Candidate Master Lightless,"
                1298
            "
"
                316
            ",I_Love_Tina,Master I_Love_Tina,"
                1297
            "
"
                317
            ",jebouin,Candidate Master jebouin,"
                1297
            "
"
                318
            ",abistrigova,Candidate Master abistrigova,"
                1292
            "
"
                319
            ",muratt,Grandmaster muratt,"
                1292
            "
"
                320
            ",Kilani,Master Kilani,"
                1290
            "
"
                321
            ",CLown1331,Expert CLown1331,"
                1287
            "
"
                322
            ",sggutier,Candidate Master sggutier,"
                1287
            "
"
                323
            ",Harshad,Expert Harshad,"
                1286
            "
"
                324
            ",Tima,Master Tima,"
                1285
            "
"
                325
            ",m_nik,Legendary grandmaster Um_nik,"
                1285
            "
"
                326
            ",YouKn0wWho,Candidate Master YouKn0wWho,"
                1284
            "
"
                327
            ",graceoflives,Expert graceoflives,"
                1284
            "
"
                328
            ",spj_29,Master spj_29,"
                1284
            "
"
                329
            ",allllekssssa,Master allllekssssa,"
                1283
            "
"
                330
            ",kraskevich,International Grandmaster kraskevich,"
                1281
            "
"
                331
            ",yassin_,Master yassin_,"
                1280
            "
"
                332
            ",I_See_You,Expert I_See_You,"
                1277
            "
"
                333
            ",RUSH_D_CAT,Master RUSH_D_CAT,"
                1277
            "
"
                334
            ",NourElRashidy,Candidate Master NourElRashidy,"
                1275
            "
"
                335
            ",Motarack,International master Motarack,"
                1274
            "
"
                336
            ",a1s3a,Specialist a1s3a,"
                1274
            "
"
                337
            ",Jakube,International master Jakube,"
                1272
            "
"
                338
            ",Heshamovic,Expert Heshamovic,"
                1270
            "
"
                339
            ",tanphatls987,International master tanphatls987,"
                1267
            "
"
                340
            ",Error_404,Expert Error_404,"
                1265
            "
"
                341
            ",rankalee,International master rankalee,"
                1265
            "
"
                342
            ",Wael.Al.Jamal,Specialist Wael.Al.Jamal,"
                1264
            "
"
                343
            ",ToErr,Expert ToErr,"
                1262
            "
"
                344
            ",marcose18,Expert marcose18,"
                1262
            "
"
                345
            ",phoenix71,Expert phoenix71,"
                1262
            "
"
                346
            ",ErdemKirez,International master ErdemKirez,"
                1261
            "
"
                347
            ",Egor,International Grandmaster Egor,"
                1259
            "
"
                348
            ",Nik_Storm_2010,International master Nik_Storm_2010,"
                1258
            "
"
                349
            ",danya090699,Master danya090699,"
                1258
            "
"
                350
            ",Enigma27,Expert Enigma27,"
                1257
            "
"
                351
            ",shengdebao,Master shengdebao,"
                1255
            "
"
                352
            ",Eeyore,Expert Eeyore,"
                1251
            "
"
                353
            ",andrew,Master andrew,"
                1251
            "
"
                354
            ",wjli,Master wjli,"
                1250
            "
"
                355
            ",jhonber,Specialist jhonber,"
                1249
            "
"
                356
            ",Alexandr_TS,Master Alexandr_TS,"
                1247
            "
"
                357
            ",Melnyk,Master Melnyk,"
                1246
            "
"
                358
            ",kakjapan31,Expert kakjapan31,"
                1246
            "
"
                359
            ",Batman,Grandmaster Batman,"
                1245
            "
"
                360
            ",philologist,Candidate Master philologist,"
                1244
            "
"
                361
            ",ProximaCentauri,Expert ProximaCentauri,"
                1242
            "
"
                362
            ",pacu,International master pacu,"
                1241
            "
"
                363
            ",bnuvjudge,"Unrated, bnuvjudge","
                1240
            "
"
                364
            ",TangentDay,Grandmaster TangentDay,"
                1238
            "
"
                365
            ",ng_58,Legendary grandmaster rng_58,"
                1238
            "
"
                366
            ",MZuev,International master MZuev,"
                1236
            "
"
                367
            ",arcanae,Candidate Master arcanae,"
                1236
            "
"
                368
            ",scorpion,Master scorpion,"
                1235
            "
"
                369
            ",dmkozyrev,Candidate Master dmkozyrev,"
                1233
            "
"
                370
            ",Carups,Expert Carups,"
                1232
            "
"
                371
            ",imAnik,Candidate Master imAnik,"
                1232
            "
"
                372
            ",omar22,Expert omar22,"
                1232
            "
"
                373
            ",GioChkhaidze,Expert GioChkhaidze,"
                1231
            "
"
                374
            ",Emsawy,Expert Emsawy,"
                1229
            "
"
                375
            ",delta_4d,Candidate Master delta_4d,"
                1228
            "
"
                376
            ",_Seyed37_,Expert _Seyed37_,"
                1227
            "
"
                377
            ",aviroop123,Master aviroop123,"
                1227
            "
"
                378
            ",kawatea,Grandmaster kawatea,"
                1227
            "
"
                379
            ",TsunamiNoLetGo,Master TsunamiNoLetGo,"
                1226
            "
"
                380
            ",KulikAlex,Expert KulikAlex,"
                1225
            "
"
                381
            ",SeyedParsa,International master SeyedParsa,"
                1224
            "
"
                382
            ",ivan.v.gerasimov,Specialist ivan.v.gerasimov,"
                1223
            "
"
                383
            ",dkjsfkhg,Expert dkjsfkhg,"
                1220
            "
"
                384
            ",mmaxio,International Grandmaster mmaxio,"
                1220
            "
"
                385
            ",Kalam,Grandmaster Kalam,"
                1219
            "
"
                386
            ",kissu_pari_na,Expert kissu_pari_na,"
                1217
            "
"
                387
            ",nemars,"Unrated, nemars","
                1217
            "
"
                388
            ",maksay,Master maksay,"
                1216
            "
"
                389
            ",Archon.JK,Master Archon.JK,"
                1215
            "
"
                390
            ",Alhelal_01,Expert Alhelal_01,"
                1213
            "
"
                391
            ",nomiku99,Specialist nomiku99,"
                1213
            "
"
                392
            ",Ahmed_Diab,Expert Ahmed_Diab,"
                1212
            "
"
                393
            ",JeffreyHo,Master JeffreyHo,"
                1211
            "
"
                394
            ",PedramAghazadeh,Candidate Master PedramAghazadeh,"
                1211
            "
"
                395
            ",Mohammadreza_mz,Candidate Master Mohammadreza_mz,"
                1209
            "
"
                396
            ",SarvagyaAgarwal,Expert SarvagyaAgarwal,"
                1209
            "
"
                397
            ",vanogam,Master vanogam,"
                1209
            "
"
                398
            ",artur.socha,Pupil artur.socha,"
                1208
            "
"
                399
            ",tokitsukaze,Specialist tokitsukaze,"
                1206
            "
"
                400
            ",trunghieu11,Expert trunghieu11,"
                1206
            "
,,,
"
                401
            ",Yury_Bandarchuk,Candidate Master Yury_Bandarchuk,"
                1205
            "
"
                402
            ",shubhiks1032,Expert shubhiks1032,"
                1205
            "
"
                403
            ",jslijin,Expert jslijin,"
                1204
            "
"
                404
            ",ei133333,Grandmaster ei133333,"
                1203
            "
"
                405
            ",urusant,Candidate Master urusant,"
                1203
            "
"
                406
            ",cjtoribio,Master cjtoribio,"
                1202
            "
